'512, SCC 2048', 'mrtc', 'adpcm', 2243597, 2237731
'128, SCC 2048', 'mrtc', 'bsort100', 207489, 177370
'256, SCC 2048', 'mrtc', 'bsort100', 207438, 177370
'512, SCC 2048', 'mrtc', 'bsort100', 177478, 177370
'128, SCC 2048', 'mrtc', 'bs', 1009, 836
'256, SCC 2048', 'mrtc', 'bs', 958, 836
'512, SCC 2048', 'mrtc', 'bs', 944, 836
'128, SCC 2048', 'mrtc', 'cnt', 4395, 4215
'256, SCC 2048', 'mrtc', 'cnt', 4344, 4215
'512, SCC 2048', 'mrtc', 'cnt', 4330, 4215
'128, SCC 2048', 'mrtc', 'compress', 8183, 7314
'256, SCC 2048', 'mrtc', 'compress', 8132, 7314
